User Name_asset00000,Device Type,_HomeCenter,IP Address,OS,Last Report Time,User Name
ssmith29_asset00029,Laptop,HQ,130.134.19.29,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith29
ssmith30_asset00030,Laptop,HQ,130.134.19.30,Win10 10.0.10586.1417 (1511),3/1/18 12:23,ssmith30
ssmith31_asset00031,Laptop,HQ,130.134.19.31,Win10 10.0.16299.192 (1709),2/28/18 13:56,ssmith31
ssmith32_asset00032,Laptop,HQ,130.134.19.32,Win10 10.0.10586.1417 (1511),2/28/18 16:07,ssmith32
ssmith33_asset00033,Laptop,HQ,130.134.19.33,Win10 10.0.10586.1295 (1511),3/1/18 12:25,ssmith33
ssmith34_asset00034,Laptop,HQ,130.134.19.34,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith34
ssmith35_asset00035,Laptop,HQ,130.134.19.35,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith35
ssmith36_asset00036,Laptop,HQ,130.134.19.36,Win10 10.0.15063.909 (1703),3/1/18 12:29,ssmith36
ssmith37_asset00037,Laptop,HQ,130.134.19.37,Win7 6.1.7601,3/1/18 12:22,ssmith37
ssmith38_asset00038,Laptop,HQ,130.134.19.38,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith38
ssmith39_asset00039,Laptop,HQ,130.134.19.39,Win10 10.0.14393.2007 (1607),3/1/18 12:21,ssmith39
ssmith40_asset00040,Laptop,HQ,130.134.19.40,Win10 10.0.14393.2068 (1607),3/1/18 12:24,ssmith40
ssmith41_asset00041,Laptop,HQ,130.134.19.41,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith41
ssmith42_asset00042,Laptop,HQ,130.134.19.42,Win10 10.0.16299.248 (1709),3/1/18 12:30,ssmith42
ssmith43_asset00043,Laptop,HQ,130.134.19.43,Win10 10.0.10586.1417 (1511),3/1/18 8:31,ssmith43
ssmith44_asset00044,Laptop,HQ,130.134.19.44,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith44
ssmith45_asset00045,Laptop,HQ,130.134.19.45,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith45
ssmith46_asset00046,Laptop,HQ,130.134.19.46,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith46
ssmith47_asset00047,Laptop,HQ,130.134.19.47,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith47
ssmith48_asset00048,Laptop,HQ,130.134.19.48,Win10 10.0.16299.248 (1709),3/1/18 12:29,ssmith48
ssmith49_asset00049,Laptop,HQ,130.134.19.49,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith49
ssmith50_asset00050,Laptop,HQ,130.134.19.50,Win10 10.0.10586.1417 (1511),3/1/18 12:23,ssmith50
ssmith51_asset00051,Laptop,HQ,130.134.19.51,Win10 10.0.10586.1417 (1511),3/1/18 12:19,ssmith51
ssmith52_asset00052,Laptop,HQ,130.134.19.52,Win8.1 6.3.9600,3/1/18 12:29,ssmith52
ssmith53_asset00053,Laptop,HQ,130.134.19.53,Win10 10.0.10586.1417 (1511),3/1/18 12:28,ssmith53
ssmith54_asset00054,Laptop,HQ,130.134.19.54,Win8.1 6.3.9600,3/1/18 12:22,ssmith54
ssmith55_asset00055,Laptop,HQ,130.134.19.55,Win7 6.1.7601,3/1/18 12:24,ssmith55
ssmith56_asset00056,Laptop,HQ,130.134.19.56,Win10 10.0.10586.1356 (1511),3/1/18 12:19,ssmith56
ssmith57_asset00057,Laptop,HQ,130.134.19.57,Win10 10.0.10586.1417 (1511),2/28/18 4:47,ssmith57
ssmith58_asset00058,Laptop,HQ,130.134.19.58,Win10 10.0.10586.1417 (1511),2/27/18 16:20,ssmith58
ssmith59_asset00059,Laptop,HQ,130.134.19.59,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith59
ssmith60_asset00060,Laptop,HQ,130.134.19.60,Win10 10.0.14393.2068 (1607),3/1/18 12:21,ssmith60
ssmith61_asset00061,Laptop,HQ,130.134.19.61,Win7 6.1.7601,3/1/18 12:23,ssmith61
ssmith62_asset00062,Laptop,HQ,130.134.19.62,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith62
ssmith63_asset00063,Laptop,HQ,130.134.19.63,Win10 10.0.16299.192 (1709),3/1/18 12:22,ssmith63
ssmith64_asset00064,Laptop,HQ,130.134.19.64,Win10 10.0.10586.1356 (1511),3/1/18 12:21,ssmith64
ssmith65_asset00065,Laptop,HQ,130.134.19.65,Win10 10.0.14393.2068 (1607),3/1/18 12:21,ssmith65
ssmith66_asset00066,Laptop,HQ,130.134.19.66,Win10 10.0.16299.248 (1709),3/1/18 12:27,ssmith66
ssmith67_asset00067,Laptop,HQ,130.134.19.67,Win10 10.0.10586.1417 (1511),3/1/18 12:31,ssmith67
ssmith68_asset00068,Laptop,HQ,130.134.19.68,Win10 10.0.10586.1417 (1511),3/1/18 12:22,ssmith68
ssmith69_asset00069,Laptop,HQ,130.134.19.69,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith69
ssmith70_asset00070,Laptop,HQ,130.134.19.70,Win10 10.0.10586.1417 (1511),3/1/18 12:24,ssmith70
ssmith71_asset00071,Laptop,HQ,130.134.19.71,Win10 10.0.10586.1417 (1511),2/28/18 15:45,ssmith71
ssmith72_asset00072,Laptop,HQ,130.134.19.72,Win10 10.0.10586.1417 (1511),3/1/18 12:24,ssmith72
ssmith73_asset00073,Laptop,HQ,130.134.19.73,Win7 6.1.7601,3/1/18 11:53,ssmith73
ssmith74_asset00074,Laptop,HQ,130.134.19.74,Win7 6.1.7601,3/1/18 12:23,ssmith74
ssmith75_asset00075,Laptop,HQ,130.134.19.75,Win10 10.0.16299.192 (1709),3/1/18 12:31,ssmith75
ssmith76_asset00076,Laptop,HQ,130.134.19.76,Win10 10.0.14393.2068 (1607),3/1/18 12:22,ssmith76
ssmith77_asset00077,Laptop,HQ,130.134.19.77,Win7 6.1.7601,3/1/18 12:22,ssmith77
ssmith78_asset00078,Laptop,HQ,130.134.19.78,Win7 6.1.7601,3/1/18 12:22,ssmith78
ssmith79_asset00079,Laptop,HQ,130.134.19.79,Win10 10.0.10586.1417 (1511),3/1/18 12:21,ssmith79
ssmith80_asset00080,Laptop,HQ,130.134.19.80,Win10 10.0.14393.2068 (1607),3/1/18 12:21,ssmith80
ssmith81_asset00081,Laptop,HQ,130.134.19.81,Win10 10.0.16299.192 (1709),3/1/18 12:21,ssmith81
ssmith82_asset00082,Laptop,HQ,130.134.19.82,Win10 10.0.16299.192 (1709),3/1/18 12:26,ssmith82
ssmith83_asset00083,Laptop,HQ,130.134.19.83,Win7 6.1.7601,3/1/18 12:23,ssmith83
ssmith84_asset00084,Laptop,HQ,130.134.19.84,Win10 10.0.10586.1417 (1511),3/1/18 12:28,ssmith84
ssmith85_asset00085,Laptop,HQ,130.134.19.85,Win10 10.0.16299.248 (1709),3/1/18 12:22,ssmith85
ssmith86_asset00086,Laptop,HQ,130.134.19.86,Win7 6.1.7601,3/1/18 12:24,ssmith86
ssmith87_asset00087,Laptop,HQ,130.134.19.87,Win7 6.1.7601,3/1/18 12:22,ssmith87
ssmith88_asset00088,Laptop,HQ,130.134.19.88,Win10 10.0.14393.2068 (1607),3/1/18 12:21,ssmith88
ssmith89_asset00089,Laptop,HQ,130.134.19.89,Win7 6.1.7601,2/27/18 18:58,ssmith89
ssmith90_asset00090,Laptop,HQ,130.134.19.90,Win7 6.1.7601,3/1/18 12:31,ssmith90
ssmith91_asset00091,Laptop,HQ,130.134.19.91,Win10 10.0.16299.192 (1709),3/1/18 12:30,ssmith91
ssmith92_asset00092,Laptop,HQ,130.134.19.92,Win7 6.1.7601,3/1/18 12:02,ssmith92
ssmith93_asset00093,Laptop,HQ,130.134.19.93,Win7 6.1.7601,3/1/18 12:22,ssmith93
ssmith94_asset00094,Laptop,HQ,130.134.19.94,Win7 6.1.7601,3/1/18 12:23,ssmith94
ssmith95_asset00095,Laptop,HQ,130.134.19.95,Win7 6.1.7601,3/1/18 12:16,ssmith95
ssmith96_asset00096,Laptop,HQ,130.134.19.96,Win7 6.1.7601,3/1/18 11:32,ssmith96
ssmith97_asset00097,Laptop,HQ,130.134.19.97,Win7 6.1.7601,3/1/18 12:23,ssmith97
ssmith98_asset00098,Laptop,HQ,130.134.19.98,Win7 6.1.7601,3/1/18 12:21,ssmith98
ssmith99_asset00099,Laptop,HQ,130.134.19.99,Win7 6.1.7601,3/1/18 12:19,ssmith99
ssmith100_asset00100,Desktop,HQ,130.134.19.100,Win7 6.1.7601,3/1/18 12:19,ssmith100
ssmith101_asset00101,Laptop,HQ,130.134.19.101,Win7 6.1.7601,3/1/18 11:44,ssmith101
ssmith102_asset00102,Laptop,HQ,130.134.19.102,Win7 6.1.7601,3/1/18 12:26,ssmith102
ssmith103_asset00103,Laptop,HQ,130.134.19.103,Win7 6.1.7601,3/1/18 11:16,ssmith103
ssmith104_asset00104,Laptop,HQ,130.134.19.104,Win7 6.1.7601,3/1/18 12:22,ssmith104
ssmith105_asset00105,Laptop,HQ,130.134.19.105,Win7 6.1.7601,3/1/18 12:22,ssmith105
ssmith106_asset00106,Laptop,HQ,130.134.19.106,Win7 6.1.7601,3/1/18 12:24,ssmith106
ssmith107_asset00107,Laptop,HQ,130.134.19.107,Win7 6.1.7601,3/1/18 12:21,ssmith107
ssmith108_asset00108,Laptop,HQ,130.134.19.108,Win7 6.1.7601,3/1/18 12:19,ssmith108
ssmith109_asset00109,Laptop,HQ,130.134.19.109,Win7 6.1.7601,3/1/18 12:21,ssmith109
ssmith110_asset00110,Laptop,HQ,130.134.19.110,Win7 6.1.7601,3/1/18 12:24,ssmith110
ssmith111_asset00111,Laptop,HQ,130.134.19.111,Win7 6.1.7601,3/1/18 12:29,ssmith111
ssmith112_asset00112,Laptop,JSC,130.134.19.112,Win7 6.1.7601,3/1/18 12:22,ssmith112
ssmith113_asset00113,Laptop,JSC,130.134.19.113,Win7 6.1.7601,3/1/18 12:28,ssmith113
ssmith114_asset00114,Laptop,JSC,130.134.19.114,Win7 6.1.7601,3/1/18 12:31,ssmith114
ssmith115_asset00115,Laptop,JSC,130.134.19.115,Win7 6.1.7601,3/1/18 12:27,ssmith115
ssmith116_asset00116,Laptop,JSC,130.134.19.116,Win7 6.1.7601,2/27/18 15:13,ssmith116
ssmith117_asset00117,Laptop,JSC,130.134.19.117,Win10 10.0.14393.2007 (1607),3/1/18 12:21,ssmith117
ssmith118_asset00118,Laptop,JSC,130.134.19.118,Win7 6.1.7601,3/1/18 12:22,ssmith118
ssmith119_asset00119,Laptop,JSC,130.134.19.119,Win7 6.1.7601,3/1/18 12:22,ssmith119
ssmith120_asset00120,Laptop,JSC,130.134.19.120,Win7 6.1.7601,3/1/18 12:24,ssmith120
ssmith121_asset00121,Laptop,JSC,130.134.19.121,Win7 6.1.7601,3/1/18 12:24,ssmith121
ssmith122_asset00122,Laptop,JSC,130.134.19.122,Win7 6.1.7601,3/1/18 12:19,ssmith122
ssmith123_asset00123,Laptop,JSC,130.134.19.123,Win7 6.1.7601,3/1/18 11:55,ssmith123
ssmith124_asset00124,Laptop,KSC,130.134.19.124,Win7 6.1.7601,3/1/18 12:30,ssmith124
ssmith125_asset00125,Laptop,KSC,130.134.19.125,Win7 6.1.7601,3/1/18 12:19,ssmith125
ssmith126_asset00126,Laptop,KSC,130.134.19.126,Win7 6.1.7601,3/1/18 12:23,ssmith126
ssmith127_asset00127,Laptop,KSC,130.134.19.127,Win7 6.1.7601,2/28/18 15:03,ssmith127
ssmith128_asset00128,Laptop,LARC,130.134.19.128,Mac OS X 10.11.6 (15G17023),3/1/18 8:52,ssmith128
ssmith129_asset00129,Laptop,LARC,130.134.19.129,Win7 6.1.7601,3/1/18 8:07,ssmith129
ssmith130_asset00130,Laptop,LARC,130.134.19.130,Win7 6.1.7601,3/1/18 12:23,ssmith130
ssmith131_asset00131,Laptop,LARC,130.134.19.131,Win7 6.1.7601,3/1/18 12:22,ssmith131
ssmith132_asset00132,Laptop,LARC,130.134.19.132,Win7 6.1.7601,3/1/18 12:18,ssmith132
ssmith133_asset00133,Laptop,LARC,130.134.19.133,Win7 6.1.7601,3/1/18 12:24,ssmith133
ssmith134_asset00134,Laptop,MSFC,130.134.19.134,Win7 6.1.7601,3/1/18 12:19,ssmith134
ssmith135_asset00135,Laptop,MSFC,130.134.19.135,Win7 6.1.7601,3/1/18 11:19,ssmith135
ssmith136_asset00136,Laptop,MSFC,130.134.19.136,Win7 6.1.7601,3/1/18 12:22,ssmith136
ssmith137_asset00137,Laptop,MSFC,130.134.19.137,Win7 6.1.7601,2/28/18 8:42,ssmith137
ssmith138_asset00138,Laptop,MSFC,130.134.19.138,Win7 6.1.7601,3/1/18 12:24,ssmith138
ssmith139_asset00139,Laptop,MSFC,130.134.19.139,Win7 6.1.7601,3/1/18 12:28,ssmith139
ssmith140_asset00140,Laptop,MSFC,130.134.19.140,Win7 6.1.7601,3/1/18 12:26,ssmith140
ssmith141_asset00141,Laptop,MSFC,130.134.19.141,Win10 10.0.14393.2068 (1607),3/1/18 11:53,ssmith141
ssmith142_asset00142,Laptop,MSFC,130.134.19.142,Win7 6.1.7601,3/1/18 12:21,ssmith142
ssmith143_asset00143,Laptop,MSFC,130.134.19.143,Win7 6.1.7601,3/1/18 12:19,ssmith143
ssmith144_asset00144,Laptop,MSFC,130.134.19.144,Win7 6.1.7601,3/1/18 12:23,ssmith144
ssmith145_asset00145,Laptop,MSFC,130.134.19.145,Win7 6.1.7601,3/1/18 12:23,ssmith145
ssmith146_asset00146,Laptop,SSC,130.134.19.146,Win7 6.1.7601,3/1/18 12:21,ssmith146
ssmith147_asset00147,Laptop,SSC,130.134.19.147,Win7 6.1.7601,3/1/18 12:23,ssmith147
jdoe1288_asset00148,Laptop,GSFC,128.154.2.19,Win7 6.1.7601,2/28/18 2:12,jdoe1288
jdoe1290_asset00149,Laptop,GSFC,128.154.2.78,Win7 6.1.7601,3/1/18 12:28,jdoe1290
jdoe1291_asset00150,Laptop,GSFC,128.154.2.200,Win7 6.1.7601,3/1/18 12:21,jdoe1291
jdoe1293_asset00151,Laptop,GSFC,128.154.2.22,Win7 6.1.7601,3/1/18 12:22,jdoe1293
jdoe1294_asset00152,Laptop,GSFC,128.154.1.99,Win7 6.1.7601,3/1/18 12:28,jdoe1294
jdoe1295_asset00153,Laptop,GSFC,128.154.2.198,Win7 6.1.7601,3/1/18 12:22,jdoe1295
jdoe1296_asset00154,Laptop,GSFC,128.154.2.108,Win7 6.1.7601,3/1/18 12:19,jdoe1296
jdoe1297_asset00155,Laptop,GSFC,128.154.2.201,Win7 6.1.7601,2/28/18 0:36,jdoe1297
jdoe1298_asset00156,Laptop,GSFC,128.154.1.74,Win7 6.1.7601,3/1/18 12:19,jdoe1298
jdoe1299_asset00157,Laptop,GSFC,128.154.1.126,Win7 6.1.7601,3/1/18 12:23,jdoe1299
jdoe130_asset00158,Laptop,JSC,130.134.1.49,Win7 6.1.7601,3/1/18 12:25,jdoe130
jdoe1300_asset00159,Laptop,GSFC,128.154.1.175,Win10 10.0.10586.1417 (1511),3/1/18 12:27,jdoe1300
jdoe1301_asset00160,Laptop,GSFC,128.154.1.87,Win7 6.1.7601,3/1/18 12:22,jdoe1301
jdoe1302_asset00161,Laptop,GSFC,128.154.1.83,Win7 6.1.7601,3/1/18 12:23,jdoe1302
jdoe1307_asset00162,Laptop,GSFC,128.154.2.109,Win7 6.1.7601,3/1/18 12:22,jdoe1307
jdoe131_asset00163,Laptop,JSC,130.134.1.86,Win7 6.1.7601,3/1/18 12:21,jdoe131
jdoe1311_asset00164,Laptop,GSFC,128.154.1.26,Win7 6.1.7601,3/1/18 11:19,jdoe1311
jdoe1316_asset00165,Laptop,GSFC,128.154.2.226,Win7 6.1.7601,3/1/18 12:22,jdoe1316
jdoe1319_asset00166,Laptop,GSFC,128.154.2.222,Win7 6.1.7601,3/1/18 12:22,jdoe1319
jdoe132_asset00167,Laptop,JSC,130.134.2.220,Win7 6.1.7601,3/1/18 10:11,jdoe132
jdoe1320_asset00168,Laptop,GSFC,128.154.2.5,Win7 6.1.7601,3/1/18 12:22,jdoe1320
jdoe1321_asset00169,Laptop,GSFC,128.154.2.20,Win7 6.1.7601,3/1/18 12:25,jdoe1321
jdoe1322_asset00170,Laptop,GSFC,128.154.2.18,Win7 6.1.7601,3/1/18 12:22,jdoe1322
jdoe1323_asset00171,Laptop,GSFC,128.154.2.103,Win7 6.1.7601,3/1/18 12:31,jdoe1323
jdoe1324_asset00172,Laptop,GSFC,128.154.1.205,Win7 6.1.7601,3/1/18 12:21,jdoe1324
jdoe1328_asset00173,Laptop,GSFC,128.154.2.170,Win7 6.1.7601,3/1/18 12:22,jdoe1328
jdoe1329_asset00174,Laptop,GSFC,128.154.1.77,Win7 6.1.7601,3/1/18 12:28,jdoe1329
jdoe133_asset00175,Laptop,JSC,130.134.2.53,Win7 6.1.7601,3/1/18 12:24,jdoe133
jdoe1330_asset00176,Laptop,GSFC,128.154.2.199,Win7 6.1.7601,3/1/18 12:25,jdoe1330
jdoe1331_asset00177,Laptop,GSFC,128.154.1.132,Win7 6.1.7601,3/1/18 11:24,jdoe1331
jdoe1333_asset00178,Laptop,GSFC,128.154.2.104,Win7 6.1.7601,3/1/18 12:24,jdoe1333
jdoe1334_asset00179,Laptop,GSFC,128.154.1.100,Win7 6.1.7601,3/1/18 12:24,jdoe1334
jdoe1336_asset00180,Laptop,GSFC,128.154.2.7,Win7 6.1.7601,3/1/18 12:23,jdoe1336
jdoe1337_asset00181,Laptop,GSFC,128.154.2.99,Win7 6.1.7601,2/28/18 16:45,jdoe1337
jdoe1338_asset00182,Laptop,GSFC,128.154.1.89,Win7 6.1.7601,3/1/18 12:25,jdoe1338
jdoe1341_asset00183,Laptop,GSFC,128.154.2.95,Win7 6.1.7601,3/1/18 12:30,jdoe1341
jdoe1344_asset00184,Laptop,GSFC,128.154.2.75,Win7 6.1.7601,3/1/18 12:23,jdoe1344
jdoe1346_asset00185,Laptop,GSFC,128.154.2.90,Win7 6.1.7601,3/1/18 12:22,jdoe1346
jdoe1347_asset00186,Laptop,GSFC,128.154.2.86,Win7 6.1.7601,3/1/18 12:21,jdoe1347
jdoe135_asset00187,Laptop,JSC,130.134.2.122,Win7 6.1.7601,3/1/18 12:21,jdoe135
jdoe1350_asset00188,Laptop,GSFC,128.154.1.25,Win7 6.1.7601,3/1/18 12:18,jdoe1350
jdoe1352_asset00189,Laptop,GSFC,128.154.2.223,Win7 6.1.7601,3/1/18 12:08,jdoe1352
jdoe1353_asset00190,Laptop,GSFC,128.154.1.160,Win7 6.1.7601,3/1/18 12:22,jdoe1353
jdoe1354_asset00191,Laptop,GSFC,128.154.1.105,Win7 6.1.7601,3/1/18 12:22,jdoe1354
jdoe1355_asset00192,Laptop,GSFC,128.154.1.166,Win7 6.1.7601,3/1/18 12:19,jdoe1355
jdoe1356_asset00193,Laptop,GSFC,128.154.1.114,Win7 6.1.7601,3/1/18 12:21,jdoe1356
jdoe1358_asset00194,Laptop,GSFC,128.154.1.66,Win7 6.1.7601,2/28/18 15:48,jdoe1358
jdoe1362_asset00195,Laptop,GSFC,128.154.2.74,Win7 6.1.7601,3/1/18 12:21,jdoe1362
jdoe1363_asset00196,Laptop,GSFC,128.154.1.123,Win10 10.0.14393.2068 (1607),3/1/18 12:21,jdoe1363
jdoe1364_asset00197,Laptop,GSFC,128.154.2.228,Win10 10.0.14393.2068 (1607),3/1/18 12:22,jdoe1364
jdoe1365_asset00198,Laptop,GSFC,128.154.2.164,Win7 6.1.7601,3/1/18 12:26,jdoe1365
jdoe1366_asset00199,Laptop,GSFC,128.154.1.78,Win10 10.0.14393.2068 (1607),3/1/18 12:21,jdoe1366
jdoe1367_asset00200,Laptop,GSFC,128.154.1.108,Win7 6.1.7601,3/1/18 12:22,jdoe1367
jdoe1369_asset00201,Laptop,GSFC,128.154.1.221,Win7 6.1.7601,3/1/18 12:19,jdoe1369
jdoe137_asset00202,Laptop,JSC,130.134.2.6,Win7 6.1.7601,3/1/18 12:22,jdoe137
jdoe1371_asset00203,Laptop,GSFC,128.154.1.167,Win7 6.1.7601,3/1/18 12:21,jdoe1371
jdoe1374_asset00204,Laptop,GSFC,128.154.1.45,Win7 6.1.7601,3/1/18 12:25,jdoe1374
jdoe1376_asset00205,Laptop,GSFC,128.154.2.10,Win7 6.1.7601,3/1/18 12:21,jdoe1376
jdoe1378_asset00206,Laptop,GSFC,128.154.1.121,Win7 6.1.7601,3/1/18 12:27,jdoe1378
jdoe1379_asset00207,Laptop,GSFC,128.154.1.113,Win7 6.1.7601,3/1/18 12:23,jdoe1379
jdoe138_asset00208,Laptop,JSC,130.134.2.242,Win10 10.0.14393.1378 (1607),3/1/18 12:21,jdoe138
jdoe1381_asset00209,Laptop,GSFC,128.154.2.163,Win7 6.1.7601,3/1/18 12:19,jdoe1381
jdoe1383_asset00210,Laptop,GSFC,128.154.1.117,Win7 6.1.7601,3/1/18 12:22,jdoe1383
jdoe1384_asset00211,Laptop,GSFC,128.154.2.173,Win7 6.1.7601,3/1/18 12:22,jdoe1384
jdoe1387_asset00212,Laptop,GSFC,128.154.1.171,Win7 6.1.7601,3/1/18 12:22,jdoe1387
jdoe1388_asset00213,Laptop,GSFC,128.154.2.2,Win7 6.1.7601,3/1/18 12:22,jdoe1388
jdoe1389_asset00214,Laptop,GSFC,128.154.1.136,Win7 6.1.7601,3/1/18 12:22,jdoe1389
jdoe1394_asset00215,Laptop,GSFC,128.154.1.173,Mac OS X 10.11.6 (15G19009),2/28/18 11:03,jdoe1394
jdoe1395_asset00216,Laptop,GSFC,128.154.1.161,Mac OS X 10.11.6 (15G17023),3/1/18 8:24,jdoe1395
jdoe1396_asset00217,Laptop,GSFC,128.154.1.176,Mac OS X 10.11.6 (15G31),3/1/18 12:22,jdoe1396
jdoe140_asset00218,Laptop,JSC,130.134.2.168,Win10 10.0.14393.2068 (1607),3/1/18 12:25,jdoe140
jdoe1402_asset00219,Laptop,GSFC,128.154.2.27,Mac OS X 10.11.6 (15G19009),3/1/18 12:23,jdoe1402
jdoe14027_asset00220,Desktop,JSC,130.134.3.35,Win7 6.1.7601,3/1/18 12:22,jdoe14027
jdoe1405_asset00221,Laptop,GSFC,128.154.1.168,Mac OS X 10.11.6 (15G19009),3/1/18 11:05,jdoe1405
jdoe141_asset00222,Laptop,JSC,130.134.2.162,Win10 10.0.14393.2068 (1607),3/1/18 12:25,jdoe141
jdoe1411_asset00223,Laptop,GSFC,128.154.2.21,Mac OS X 10.11.6 (15G19009),3/1/18 12:31,jdoe1411
jdoe1416_asset00224,Laptop,GSFC,128.154.2.87,Mac OS X 10.11.6 (15G19009),3/1/18 11:21,jdoe1416
jdoe1418_asset00225,Laptop,GSFC,128.154.2.147,Mac OS X 10.11.6 (15G19009),3/1/18 12:22,jdoe1418
jdoe1419_asset00226,Desktop,GSFC,128.154.2.143,Win7 6.1.7601,3/1/18 12:22,jdoe1419
jdoe142_asset00227,Laptop,JSC,130.134.2.164,Win10 10.0.14393.2068 (1607),3/1/18 12:25,jdoe142
jdoe1420_asset00228,Desktop,GSFC,128.154.1.182,Win7 6.1.7601,3/1/18 12:21,jdoe1420
jdoe1421_asset00229,Desktop,GSFC,128.154.2.8,Win7 6.1.7601,3/1/18 12:18,jdoe1421
jdoe1422_asset00230,Desktop,GSFC,128.154.2.11,Win7 6.1.7601,3/1/18 12:24,jdoe1422
jdoe1423_asset00231,Desktop,GSFC,128.154.2.9,Win7 6.1.7601,3/1/18 12:21,jdoe1423
jdoe1424_asset00232,Desktop,GSFC,128.154.1.224,Win7 6.1.7601,3/1/18 12:21,jdoe1424
jdoe1425_asset00233,Desktop,GSFC,128.154.1.230,Win7 6.1.7601,3/1/18 12:25,jdoe1425
jdoe1426_asset00234,Desktop,GSFC,128.154.2.94,Win7 6.1.7601,3/1/18 12:22,jdoe1426
jdoe1427_asset00235,Desktop,GSFC,128.154.2.96,Win7 6.1.7601,3/1/18 12:21,jdoe1427
jdoe1428_asset00236,Desktop,GSFC,128.154.1.92,Win7 6.1.7601,3/1/18 12:25,jdoe1428
