duration,local_orig,ts,IP Address,uid,id_orig_port,id_resp_host,id_resp_port,orig_ip_bytes,local_resp,orig_mac,orig_bytes,resp_ip_bytes,resp_mac,proto,missed_bytes,service,orig_pkts,history,resp_bytes,conn_state,resp_pkts,resp_geoip.timezone,resp_geoip.area_code,resp_geoip.continent_code,resp_geoip.real_region_name,resp_geoip.ip,resp_geoip.country_name,resp_geoip.latitude,resp_geoip.country_code2,resp_geoip.longitude,resp_geoip.dma_code,resp_geoip.city_name,resp_geoip.country_code3,resp_geoip.postal_code
0,T,1478030480,130.134.19.10,CO4hUv3exBHA5AJEF1,3,10.0.0.3,3,91,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478033361,130.134.19.78,C0wAnd2ENqZEnt5rq8,3,10.0.0.3,3,93,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478033932,130.134.19.40,CAGK6a4JuuaVP2jR6j,3,10.0.0.3,3,91,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478036284,130.134.19.65,Cn6nvy2cId0sMfkbtc,3,10.0.0.3,3,100,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478037178,130.134.19.64,CsMDFy36vUUHQvKqAi,3,10.0.0.3,3,93,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478039084,130.134.19.53,CyHxg24UCUU8qi0mH9,3,10.0.0.3,3,91,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478047366,130.134.19.18,CQQzCO2Q0xM77avdH5,8,10.0.0.3,0,48,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478048037,130.134.19.13,CzicfF3a8TnWEMJSG1,8,10.0.0.3,0,48,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478048153,130.134.19.60,Cxw15M2gZJgLUspE45,8,10.0.0.3,0,48,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478048622,130.134.19.57,CC672S3q1GvBIKXWk,8,10.0.0.3,0,48,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478048691,130.134.19.107,C9dJkb4h1pDxYdmuu5,8,10.0.0.3,0,48,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478049494,130.134.19.85,CBd5c71iWJaJEnODRj,8,10.0.0.3,0,48,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478050358,130.134.19.43,CpE9LT2IsnItMBic01,3,10.0.0.3,3,88,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478051585,130.134.19.99,C4zpG32WWmPq5lFQXi,3,10.0.0.3,3,92,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,F,1478052278,207.46.193.224,CQLj4M39lG9sr3ABR1,133,ff02::2,134,112,F,9c:d9:17:40:bf:f8,16,0,33:33:00:00:00:02,icmp,0,NA,2,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478098880,130.134.19.141,CdHl3W1QmgUcIGiWZh,3,10.0.0.5,3,93,T,08:bd:43:8a:7d:59,0,0,10:a5:d0:4b:03:94,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478100819,130.134.19.85,CeNMGxuZJa4ykSc1h,3,10.0.0.5,3,95,T,08:bd:43:8a:7d:59,0,0,10:a5:d0:4b:03:94,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478106834,130.134.19.115,CZWoq32CBuGaKcZyWi,3,10.0.0.3,3,88,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478107175,130.134.19.37,CiO5nf2urw1aN7zPoi,3,10.0.0.3,3,93,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478109703,130.134.19.94,CbH5uj2uTceO82C56i,3,10.0.0.3,3,93,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478110953,130.134.19.88,Ck2pJn3rMD96FdflJ1,3,10.0.0.3,3,88,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478112349,130.134.19.115,CaoQWE3IbbnoqaUor2,3,10.0.0.3,3,95,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478113546,130.134.19.30,C9XPRO1n4vXGWneBSf,3,10.0.0.3,3,91,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,F,1478126394,96.127.0.0,C8HmDvBEsGWEBdKJf,143,ff02::16,0,232,F,9c:d9:17:40:bf:f8,120,0,33:33:00:00:00:16,icmp,0,NA,2,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478191369,130.134.19.145,Cd8l8732g0S9YsMlK9,3,10.0.0.5,3,88,T,08:bd:43:8a:7d:59,0,0,10:a5:d0:4b:03:94,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478191183,130.134.19.60,CXnq9wpgMk3ROOi9h,3,10.0.0.5,3,89,T,08:bd:43:8a:7d:59,0,0,10:a5:d0:4b:03:94,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478193457,130.134.19.47,CsADyD2TXHMdzhwvu6,3,10.0.0.5,3,88,T,08:bd:43:8a:7d:59,0,0,10:a5:d0:4b:03:94,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478025129,130.134.19.85,CvvHAq1ZFjo3X6v5sj,3,10.0.0.3,3,96,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478025825,130.134.19.27,CmxNUl5sw3qlAtktg,3,10.0.0.3,3,88,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478031369,130.134.19.31,CRM3ML3Tcxknlp9yV1,3,10.0.0.3,3,88,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478031430,130.134.19.67,CfDWBNaTiiK6iZcCk,3,10.0.0.3,3,96,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478032021,130.134.19.101,CmUp5E3HMFBJmQd1s2,3,10.0.0.3,3,91,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478035697,130.134.19.146,CC43Sb3AvhugN5Grvf,3,10.0.0.3,3,88,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478039968,130.134.19.12,CxQP8uF3mdI6FHpDf,3,10.0.0.3,3,88,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478041216,130.134.19.124,C3YTXs1QHWsn0qfRYb,3,10.0.0.3,3,89,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478045651,130.134.19.147,Ck9wq12fYmtcxoiiCf,8,10.0.0.3,0,48,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478047827,130.134.19.25,CevUN84tnZZ63g5lX4,8,10.0.0.3,0,48,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478049586,130.134.19.24,CGFhaU1X3DEsYOYYRg,8,10.0.0.3,0,48,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478100491,130.134.19.96,Cz0EWi1MYAzdcjlVsd,3,10.0.0.3,3,104,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478100723,130.134.19.132,Cz25Sq2RbIlZPfP4t1,3,10.0.0.3,3,101,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478101080,130.134.19.98,CSDhU11pf1NYhArmMc,3,10.0.0.5,3,93,T,08:bd:43:8a:7d:59,0,0,10:a5:d0:4b:03:94,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478101067,130.134.19.88,CdJ1Xz2E5nQpZ1orv7,3,10.0.0.3,3,93,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478101627,130.134.19.47,CK8V3Q3QC6hO33UsS,3,10.0.0.3,3,91,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478109497,130.134.19.13,C9njPi1eLTV1upXgek,3,10.0.0.3,3,92,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478111299,130.134.19.105,CkHj4u0taDVnuDDHf,3,10.0.0.3,3,91,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478113693,130.134.19.130,CGMdWC1dq0BNVhNeZk,3,10.0.0.3,3,91,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478127638,130.134.19.68,CwcRXy4Mkd7y1mJsY2,3,10.0.0.3,3,91,T,08:bd:43:8a:7d:59,0,0,9c:d9:17:40:bf:f8,icmp,0,NA,1,-,0,OTH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478024133,130.134.19.17,C5lmCg2Ts8JStwx0ui,45315,23.216.55.33,80,52,F,9c:d9:17:40:bf:f8,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,F,0,SH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478024144,130.134.19.54,CEOxhP2bN2EIhPQvX2,45313,23.216.55.33,80,52,F,9c:d9:17:40:bf:f8,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,F,0,SH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478024140,130.134.19.13,C3clS44jARsbHElzRg,43839,23.216.55.130,80,52,F,9c:d9:17:40:bf:f8,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,F,0,SH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478024137,130.134.19.102,CstnT3rt4YMltV1Di,45316,23.216.55.33,80,52,F,9c:d9:17:40:bf:f8,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,F,0,SH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,T,1478024154,130.134.19.24,CE79JL1gYFhnN0Ju4g,43839,23.216.55.130,80,52,F,9c:d9:17:40:bf:f8,0,0,08:bd:43:8a:7d:59,tcp,0,NA,1,F,0,SH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
